Country.ID,Year,grgdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm
ISR,2020,-3.758513626370808,-0.587,0.08395847,4.308,28.714,0.27365029630552157,0.4669145954672846,0.03744743406418088,0.22198767416301307
ISR,2021,7.601365574142238,1.492,-0.007977717,4.967,29.157,0.27284888740814034,0.46847901936329667,0.04022285998277187,0.21844923324579107
ISR,2022,4.218648623674048,4.395,1.032977935,3.767,30.611,0.271563714586301,0.4711196705404535,0.04271235311816757,0.214604261755078
ISR,2023,-1.215113882264085,4.208,4.371196135,3.45,29.859,0.26978163229985497,0.47399704677261384,0.04516808742659337,0.2110532335009378
ISR,2024,-0.4070425843508918,3.071,4.310664538,2.975,26.628,0.26978163229985497,0.47399704677261384,0.04516808742659337,0.2110532335009378
ITA,1990,1.9711953753471567,6.395,12.22985,8.858,19.929,0.16136501763890693,0.6671324359636038,0.14645989164558118,0.025042654751908085
ITA,1991,1.346000976089612,6.215,12.20833333,8.533,19.032,0.154299906841641,0.6693578012738536,0.150103909489472,0.02623838239503334
ITA,1992,0.7831000707316571,4.982,14.01333333,8.808,18.267,0.14884465405459726,0.6700232531333769,0.15370253853613397,0.027429554275891815
ITA,1993,-0.9371615743451688,4.499,10.19916667,9.833,19.52,0.14678322775941235,0.6676224238285711,0.1569737755907353,0.028620572821281283
ITA,1994,2.1130609884554064,4.167,8.5075,10.633,19.856,0.14410210229728115,0.6623029119156767,0.16389099935635829,0.029703986430683952
ITA,1995,2.883253584717682,5.387,10.45666667,11.15,22.088,0.14241194853048933,0.6594919074705117,0.16717540155130514,0.030920742447693834
ITA,1996,1.525044276741072,3.985,8.82,11.15,22.338,0.14158965299581452,0.6590906405165389,0.1670553027262832,0.032264403761363414
ITA,1997,1.8681504274344007,1.849,6.875833333,11.242,22.609,0.1404740394110088,0.6556682757008921,0.17039603291347927,0.033461651974619824
ITA,1998,1.7542522002645056,2.031,4.991666667,11.333,21.884,0.13979248292164764,0.652304196920977,0.17324479251748415,0.03465852763989118
ITA,1999,1.6694925218193155,1.651,2.963488346,10.942,21.505,0.13937450226170414,0.6486857970718211,0.17608518336794343,0.0358545172985314
ITA,2000,3.855774321132421,2.58,4.39176543,10.1,21.052,0.1390666237150517,0.6448070487396096,0.17908063819413672,0.03704568935120203
ITA,2001,1.939857051961336,2.324,4.261780438,9.1,21.459,0.13828285029041718,0.6365290135186322,0.1817665258975143,0.043421610293436386
ITA,2002,0.2126405458465763,2.612,3.318601627,8.608,21.556,0.13786258779564886,0.6280596358860759,0.18435820820662405,0.04971956811165117
ITA,2003,-0.2713571043692742,2.813,2.333474191,8.45,20.796,0.13720659853110773,0.6203568207032045,0.18664222686716814,0.05579435389851963
ITA,2004,0.7244243228440972,2.257,2.10632298,8.017,21.162,0.13613927044293261,0.6130175536227,0.18916612503408256,0.06167705090028467
ITA,2005,0.0118286649065879,2.207,2.184689332,7.758,20.646,0.1353697122095292,0.6050693994584011,0.19198039025939528,0.06758049807267444
ITA,2006,1.372244818827273,2.229,3.079211845,6.867,20.891,0.13453420101935115,0.5970093371507815,0.19490608649052915,0.07355037533933823
ITA,2007,1.077817232193934,2.025,4.277596427,6.2,21.258,0.13364948352798034,0.5903203232957844,0.19671818641987174,0.07931200675636353
ITA,2008,-1.846907917870633,3.492,4.634232681,6.792,19.316,0.1329967953894655,0.5846733749166662,0.19746567776693486,0.08486415192693345
ITA,2009,-5.972615111837265,0.765,1.22834975,7.875,17.881,0.1326393130222892,0.5783712911842521,0.19849007271391286,0.09049932307954572
ITA,2010,1.0703456620296592,1.62,0.810953933,8.508,17.574,0.13213250209057,0.5717944320155904,0.1998714750910147,0.09620159080282494
ITA,2011,0.2618016177311499,2.935,1.390599744,8.575,17.935,0.13246695040861922,0.5695672215884277,0.2020310353952386,0.0959347926077145
ITA,2012,-3.377768338508269,3.315,0.573181087,10.892,17.769,0.1327309551066085,0.5665504291442234,0.2049855583492335,0.09573305739993457
ITA,2013,-2.0984744006547484,1.245,0.220661223,12.367,18.036,0.1328032967921906,0.5634087824093199,0.20819048994376999,0.09559743085471951
ITA,2014,-0.1150663269654739,0.234,0.209945672,12.783,18.831,0.1324981846986899,0.5601451360792095,0.21171800392922205,0.09563867529287862
ITA,2015,0.9700415777582404,0.108,-0.019375701,12.017,18.524,0.1318794358414903,0.5574128164680148,0.21487121916128346,0.09583652852921147
ITA,2016,1.458067539860619,-0.05,-0.263695659,11.717,20.172,0.13043851942622378,0.5543995651649649,0.21724777350217186,0.09791414190663952
ITA,2017,1.7676512723849849,1.326,-0.329056116,11.3,20.609,0.1288914160047973,0.5518216512786039,0.21930408447261365,0.09998284824398507
ITA,2018,1.0436392109359316,1.243,-0.322092958,10.6,21.162,0.1272233435499982,0.5493357110696955,0.2213409884618885,0.1020999569184179
ITA,2019,0.6324807078060379,0.634,-0.35631935,9.908,21.521,0.12536318228184282,0.5464756889956145,0.22387624900765232,0.10428487971489037
ITA,2020,-8.600518173428373,-0.145,-0.425159625,9.358,21.66,0.12345460113853193,0.5437689585003157,0.22617148608170656,0.10660495427944584
ITA,2021,9.676277454468265,1.941,-0.548756293,9.508,24.101,0.12132688535870555,0.5427653071731068,0.2289754869256069,0.10693232054258081
ITA,2022,5.187008581029251,8.736,0.341555419,8.125,22.873,0.11906898583674871,0.5421674620813095,0.23163351411400113,0.10713003796794063
ITA,2023,0.7715787588913559,5.903,3.430800561,7.683,23.065,0.11660581988879795,0.5415346423436868,0.23451404670896725,0.10734549105854806
ITA,2024,0.770211362920814,1.089,3.57091273,6.558,23.483,0.11660581988879795,0.5415346423436868,0.23451404670896725,0.10734549105854806
JPN,1990,4.4925692634680825,3.071,7.718333333,2.1,32.882,0.17879564916025428,0.6913345243863898,0.12115573364809785,0.00871409280525815
JPN,1991,3.1140025060003795,3.273,7.384166667,2.092,32.953,0.17253578451355311,0.692358236018981,0.1259629575607636,0.009143021906702211
JPN,1992,0.5447778343831589,1.727,4.4625,2.15,32.385,0.16725732749202704,0.6922038635968462,0.13097052521930977,0.009568283691817114
