Country.ID,Year,gdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm,rr,inv,popgrowth,logoil
FRA,2006,2.929,1.892,3.079211845,8.842,22.939,23.938908623249823,46.77097244614057,18.247258101199705,11.042860829409907,1.1872118450000002,22.685,0.689339195799521,4.2
FRA,2007,2.486,1.605,4.277596427,8.017,23.467,23.83966018050328,46.36776932581475,18.63402132984105,11.158549163840933,2.6725964269999998,23.569,0.6166035487199961,4.3
FRA,2008,0.265,3.161,4.634232681,7.433,22.77,23.744698287787912,45.92649002814424,19.04972571761889,11.27908596644897,1.4732326810000003,23.467,0.5570037076398693,4.6
FRA,2009,-2.732,0.102,1.22834975,9.125,20.167,23.67374416151322,45.47349706479349,19.450584641386097,11.402174132307179,1.12634975,20.718,0.519706933030939,4.1
FRA,2010,1.843,1.738,0.810953933,9.267,20.709,23.61873138448481,45.00833111752321,19.846147811650162,11.526789686341813,-0.927046067,21.338,0.49265873132517957,4.4
FRA,2011,2.485,2.287,1.390599744,9.208,21.642,23.51955290520441,44.63365132118249,20.198880414697527,11.647915358915572,-0.896400256,22.5,0.4989398605153461,4.6
FRA,2012,0.221,2.217,0.573181087,9.767,19.698,23.430852866745617,44.27969649070035,20.523126330586237,11.766324311967793,-1.643818913,21.83,0.5094449368660436,4.5
FRA,2013,0.915,0.989,0.220661223,10.308,20.911,23.3869780228638,43.89692592691644,20.83340236822125,11.8826936819985,-0.768338777,21.52,0.5140124688125747,4.6
FRA,2014,1.02,0.611,0.209945672,10.267,20.923,23.35778931380639,43.49243955935072,21.147346579666873,12.00242454717601,-0.40105432799999996,21.837,0.4733176353123536,4.5
FRA,2015,0.986,0.089,-0.019375701,10.342,21.392,23.2865938398002,43.103070388938775,21.474194877542068,12.136140893718954,-0.10837570099999999,21.717,0.3460115561322752,3.9
FRA,2016,0.728,0.307,-0.263695659,10.067,21.07,23.168357242269906,42.72301110014448,21.80561665020059,12.303015007385016,-0.5706956590000001,21.598,0.2626757924230061,3.8
FRA,2017,2.286,1.166,-0.329056116,9.408,21.635,23.01114719303012,42.41307268941231,22.111996524273906,12.463783593283678,-1.495056116,22.181,0.3040867445194273,3.9
FRA,2018,1.587,2.099,-0.322092958,9.025,21.914,22.770625420652166,42.204777299841496,22.408116021261907,12.616481258244441,-2.421092958,22.612,0.35960374590240374,4.2
FRA,2019,2.076,1.298,-0.35631935,8.425,23.623,22.514380195948366,41.987967678236934,22.724736407765057,12.77291571804965,-1.65431935,23.025,0.32038761564918694,4.0
FRA,2020,-7.593,0.527,-0.425159625,8.025,20.751,22.290378035355364,41.75859664652805,23.015982293678984,12.93504302443761,-0.952159625,22.804,0.26748812887686935,3.7
FRA,2021,6.827,2.066,-0.548756293,7.867,23.724,22.11633916898908,41.63718964996544,23.34632232024166,12.900148860803817,-2.6147562929999997,23.447,0.27049427111507374,4.2
FRA,2022,2.624,5.904,0.341555419,7.308,23.03,21.934745683365094,41.51696727852598,23.68587103100146,12.862416007107461,-5.562444581,24.202,0.29335743514677937,4.6
FRA,2023,1.116,5.663,3.430800561,7.342,22.127,21.70525991565594,41.37230112237692,24.091272268493867,12.831166693473284,-2.2321994390000004,23.122,0.24354226221745545,4.4
FRA,2024,1.067,2.317,3.57091273,7.383,24.114,21.456210817457492,41.20418106001605,24.529594233489505,12.810013889036965,1.2539127299999997,23.718,0.1651270999356358,4.3
GBR,1990,0.561,6.999,14.80897333,7.1,20.363,25.294595256138358,48.55420182819432,19.788257055840774,6.362945859826535,7.809973330000001,23.191,0.3247972408725541,3.2
GBR,1991,-1.405,7.519,11.57341833,8.85,19.304,25.125688573847516,48.619692381531806,19.736897063952114,6.517721980668574,4.054418330000001,20.394,0.3265417142441329,3.1
GBR,1992,0.245,4.232,9.680578333,9.95,17.953,24.94184563642665,48.721830454842106,19.662142651956373,6.674181256774871,5.4485783329999995,19.237,0.2850820131049092,3.0
GBR,1993,2.259,2.533,5.995640833,10.375,17.708,24.805188679905616,48.80076708614815,19.561656836534063,6.832387397412183,3.4626408330000005,18.76,0.24561207429654175,2.9
GBR,1994,3.409,1.994,5.564840833,9.5,18.599,24.72828388459858,48.81630192043016,19.465642268065782,6.989771926905484,3.570840833,18.787,0.24570247505242282,2.8
GBR,1995,2.386,2.63,6.7525875,8.625,18.237,24.682346683822765,48.78173810893782,19.39066696395452,7.145248243284892,4.1225875,18.618,0.26107437549611756,2.9
